Category,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"
Steps in the pipeline: Data ingestion
Normalize the data
Apply suitable analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Use Case: Sentiments on newly released song via Twitter
Big Data Analytics & Use case would be used due to the nature of the analysis, as the pulse of the listeners needs to be felt in real time.









",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"We can use the stream data to provide post suggestions based on the user clicks on posts and the comments.
Sources:
Clicks from Instagram
Post views
Pipeline
Click/Views-Modelling-Analytics 
We can suggest a time window.
Benefits:
We can use the stream data to provide post suggestions based on the user clicks on posts and the comments. We can observe the sentiments of the user based on their reaction to the post. This will ensure the user sees posts based on his interests.
social media keeps users engaged and encourages them to spend more time on the platform, ultimately benefiting its advertising revenue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"In this use case, where a company wants to track the popularity of a new product they launched on social media, we could use data streaming to collect comments on the product from users. Subsequently, we could use sentiment analysis to classify each review as positive, negative, or neutral. Then, we would return the results to the stakeholders to assess the popularity of the newly released product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Company ABC can post their Advertisement on the said social media platform and track the following,
- How many people liked and commented on the post
- The time spend on the post before scrolling.


can capture the names of accounts interacted, 
and then do targeted ads for them later.


Room 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Announcements of virtual boot camps from educational platforms in social media. Its a method to get the count of potential students. 
They will give registration links for the participants. The participants are allowed to share, comment and like the advertisement. 
It's a strategy to market their full-time courses. Promo codes will be provided or discounts will be given to partciicpants of bootcamps. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"they should gathering data from Social media like comment, key words that show that sentiment, like and other reactions, and it is better to moniter their brand daily in mulpitle channel.
handel negative feedbacks ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Filtering and Aggregating the data
Enriching
Event detection

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Engineering and Applications,"Can data brick be used to deploy web applications or  create and display embedded user interfaces?


Databricks itself is not designed specifically for deploying web applications or creating and displaying embedded user interfaces, it can be used in conjunction with other tools and frameworks to achieve these goals ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"In the pre-class activity I came across the Overview of Core Big Data Analytics & Use case:

My question is; what is the essence of enriching as long we say Big Data Analytics & Use case need no storage? Where will it be used those enriched data in the workflow? Or rather give me more understanding of ""enriching"" in the workflow.In The Lecture task: ""wants to track the popularity of a new product."" My understanding; may the Event detection in the workflow be used to get the solution? Because I read in the pre class activity that Event detection is about identifying the pattern and trigger downstream or notify stakeholders. So here I will be observing the social media comments and notify the stakeholder on that comments, then if it is a time limit I just trigger downstream after the time is reached

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Data Sources:


Batch / Streaming Processing?


Reason for Analysis:


Data Processing:


How could data be persisted or used?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Analysis of the data can be used to see what genres of music and creators are popular

They would need to split the data into 3 tables, Songs, Creators, and Users. We can create the song Table by assigning values like Name, Genre, Length to it, we would also have a an Creator Foreign Key to reference the creator of the song, from there we track whenever the user playa to song and see what metrics of songs the user listens to regularly(e.g. Certain Genere's, Songs from certain Creators, Songs of Certain lengths). From there they can can analyse what kinds of music a certain user likes and recommend based on that",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"1 .Data source :it is Unstructed data - MongoDB may be NOSQPipeline : both Batch -processing and Real time processing
Reason:  we analysis the most frequently and least freq songs .
data cleaning,EDA, Data preprocess, Feature selection
finally we display our data analysis report in PowerBi dashboard.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,Ingestion: Data is collected from various sources and ingested into a data processing system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Suggestions for Data Analytics Pipelines
Ingestion: Data is collected from various sources and ingested into a data processing system.
Processing: Utilize Big Data Analytics & Use case for real-time data (e.g., current song plays) and batch processing for less time-sensitive data (e.g., daily listening habits).
Analysis: Apply machine learning models for personalized recommendations and trend analysis.
Action: Use insights to inform app features, content curation, and marketing strategies.
Storage: Persist processed data in a database for historical analysis and long-term decision-making.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Sources of Data
-Artiste/Labels
-Consumers
-Third parties

Data Analytics Pipelines

-Streaming data - this may be used as the general format for processing data in a continuous stream.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Logs of music played by users 

batch processing of 'track played', 'band', 'played time', 'amount of plays' etc.

this way they can identify users favourite bands, which they use to direct them to the merchandise and other music that they might like
The pipeline could be used for:-
Targeting against users demographics
or Only recommending highly rated tracks to users that only listen to highly rated music

Data will be persisted in a database that will improve the ability to recommend similar recommendations to new and existing users long term



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,streaming process for real time to find musical prefrences and habits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"we can assume Spotify as a source ,soundcloud or Netflix as our data source.


batch processing can be used to analyse for historical data and
streaming process for real time to find musical prefrences and habits

so in this case both techniques can be utilized for Analysis purpose


 by applying data analytics to musical app can find patterns in their customers’ listening habits that can be used to improve their  businesses. Increase overall user satisfaction and identify trends in musical tastes over time


 process steps: 1- data cleaning 2-combine data 3-feature extraction 4-sentiment analysis 
5-prediction with machin learning model

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"For mymusic, data sources include user interactions, music metadata, social media, transactions, and streaming. Analyzing these helps personalize recommendations, organize music effectively, understand user interests, improve platform performance, and enhance user experience. Processing involves cleaning, integrating, and engineering features. Data can be persisted in databases, used for real-time applications, and integrated via APIs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Monitor users listening to predict new music recommendation for the users during the week based on their genre of music.
Batch processing since it is done weekly.
To provide new music recommendation based on the users likes or interest.
 Use Use Mongo DB  for data collection for example. to get the data and categorize the likes and age range. Machine learning(MLIB) to do some analysis. The application will connect to Mongo DB via an API call use the data analyzed and will use the result to provide recommendation to the user based on our analysis of their interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"We can use user listening data and purchase history to train a recommendation system. Batch processing allows us to identify trends, such as popular genres, and recommend music that customers might like. In regards of data cleaning, we would need to convert the data into a suitable format for the analysis. Use some sort of database option to store the data and subsequently use machine learning algorithm to recomend music and merchandise




-users ratings for songs, purchase history


-batch processing


-to train recommender system


-assign unique numerical ID to users and products, collect the history, gather it into an rdd and sql based database, train an ALS model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Big Data Analytics & Use case for online users then batch processing for the wider audience 
Reason for analysis- music recommendation for users, enables companies to give feedback to the music producers, generate income for the artist 
Use mongoDB to store and filter the data then use pyspark to clean and analyze data and visualize using MLib and use mongoDB to give  suggestions 
To suggest to customers and get data to the producers to understand what people in the market needs. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"we can get data from streamers, playlists and likes.
Both of them will be relevant because we need historical data and online realtime data.
For building a recommendation system,making business decisions, descriptive and predictive analysis.
We need to clean, analyse and visualise the data.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Data source: customer behaviour - implicit feedback.
Batch processing: Since we are using a large amounts of data and we do not care about immediate results.
Analysing user behaviour and their habits
Using the data for the recommender system and measuring user engagement 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"some of the sources mymusic is working with are spotify, and also interaction interactions with users based on their comments and shares and likes. 

 batch processing is likley favourable because we have lots of people listening, commenting and sharing the music instantaneuosly which is huge dataset so it should be  accumulate  over a window period in order to carry out proper analysis based on the trend. 

some of the reasons for the analysis are 
more friendly user interface 
music preferences
for retention

 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Source of data: favorite choices, age, genre and activities
Big Data Analytics & Use case: frequency in time 
batch processing: long-time trend in music popularity
reasons for analyzing data: long time and frequency
processing: data cleaning, data preparation, data analysis, data filtering
how could processed data be used: storage, indexing, machine learning models",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"What data processing will they need 
Data collecting 
Data Preparation 
Data analysis 
data visualization ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"team processing using event time stamps which is relative to a streaming, to give real time suggestions of music to listeners  since so many people will be playing music concurrently.

Batch processing: it allows periodical evaluation of data from mymusic to get insight on genral performance of the music platform on high-volume, repetitive data.

Reasons for analysing my music data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Source of data at inception: 
Under saturated locations with competitive market in the music. 
Market analysis to see the likeliness of launching a my music and also being a success using machine learning  ( e.g do people have access to internet, reasons why its under saturated in music etc) 

Data source after launch :
Music meta data - Genre, location etc 
Time stamp of music, length, creator,  etc

Listening history of customers within the my music app 

for the analytic pipeline, 
Mymusic will use both Batch processing and Big Data Analytics & Use case


Customers satisfaction


How to use the data 
To meet customer preferences ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Big Data Analytics & Use case for real-time monitoring, batch processing for historical analysis
Reasons:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Track user engagement metrics, personalize experiences, optimize recommendations, detect anomalies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Data Processing:
Normalize data, calculate engagement metrics, segment users, use ML for predictive analysis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Persistence and Usage:
Store data for analysis, generate real-time dashboards, alert admins about anomalies, integrate insights for product and marketing strategies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"Activity 1: User Engagement Monitoring
Sources:
User interaction events (Big Data Analytics & Use case)
User profile updates, content metadata, social media mentions (batch processing)
Processing:



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Data Analytics & Use case,"my music app would use both stream and batch processing for recommendation  but mainly Big Data Analytics & Use case, they collect data base on the user's behavior and preference to predict what you might want to listen next.
they analysis user's behavior to give better suggestion to the user, and to get more business insight and to avoid copy right and to detect errors and duplication, accuracy and consistency.
preference-level data processing, automated data processing and stream possessing.
we use this data to save user's data, and better suggestion and analyze recommendation and listening habit.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
